РЕМnЦЉ,ЙЌРмЦЉ,ЙЌРмФ‘НЖ,ТnХыРЃФхЛ«,ОЦЦ±ПКЦЉ,К«КНПoТ£ПК,НґЙEКЁ,ЛЧЧ£ХWЦЉ,И№Уx,МoУx,С™Ч ФNМОУъ,РЁТuУъ,УPЛОУъ
,СеСyРм,,,,,ЙEКЁ,3.7,35.11718269,136.0764854,,,
,СеСyРм,,,,,НґКЁ,3.8,35.11626991,136.0765035,,,
,СеСyРм,,,,,ЙEКЁ,3.8,35.11652183,136.0769583,,,
,СеСyРм,,,,,НґКЁ,3.9,35.11552183,136.0771135,,,
,СеСyРм,,,,,ЙEКЁ,3.9,35.11577216,136.0775697,,,
,СеСyРм,,,,,НґКЁ,4,35.11477314,136.0777278,,,
,СеСyРм,,,,,ЙEКЁ,4,35.11502594,136.0781819,,,
,СеСyРм,,,,,НґКЁ,4.1,35.11402682,136.0783431,,,
,СеСyРм,,,,,ЙEКЁ,4.1,35.11427961,136.0787972,,,
,СеСyРм,,,,,НґКЁ,4.2,35.11328046,136.078959,,,
,СеСyРм,,,,,ЙEКЁ,4.2,35.11353375,136.0794127,,,
,СеСyРм,,,,,НґКЁ,4.3,35.11275924,136.0800223,,,
,СеСyРм,,,,,ЙEКЁ,4.3,35.11313522,136.0797197,,,
,СеСyРм,,,,,НґКЁ,4.4,35.11314728,136.0806053,,,
,СеСyРм,,,,,ЙEКЁ,4.4,35.11340869,136.0810521,,,
,СеСyРм,,,,,НґКЁ,4.5,35.11248878,136.0811739,,,
,СеСyРм,,,,,ЙEКЁ,4.5,35.11274383,136.0816261,,,
,СеСyРм,,,,,НґКЁ,4.6,35.11174698,136.0817869,,,
,СеСyРм,,,,,ЙEКЁ,4.6,35.11199409,136.0822456,,,
,СеСyРм,,,,,НґКЁ,4.7,35.11120598,136.0827944,,,
,СеСyРм,,,,,ЙEКЁ,4.7,35.11160876,136.0825482,,,
,СеСyРм,,,,,НґКЁ,4.8,35.11084395,136.0832594,,,
,СеСyРм,,,,,ЙEКЁ,4.8,35.11110185,136.0837092,,,
,СеСyРм,,,,,НґКЁ,4.9,35.11010524,136.0838113,,,
,СеСyРм,,,,,ЙEКЁ,4.9,35.11030754,136.0843015,,,
,СеСyРм,,,,,НґКЁ,5,35.10929879,136.0843113,,,
,СеСyРм,,,,,ЙEКЁ,5,35.10950759,136.0847974,,,
,СеСyРм,,,,,НґКЁ,5.1,35.10850042,136.0848162,,,
,СеСyРм,,,,,ЙEКЁ,5.1,35.10870616,136.0853042,,,
,СеСyРм,,,,,НґКЁ,5.2,35.10790629,136.0852091,,,
,СеСyРм,,,,,ЙEКЁ,5.2,35.10759038,136.0856003,,,
,СеСyРм,,,,,НґКЁ,5.3,35.10701712,136.0845962,,,
,СеСyРм,,,,,ЙEКЁ,5.3,35.1072716,136.0850489,,,
,СеСyРм,,,,,НґКЁ,5.4,35.10604988,136.0854014,,,
,СеСyРм,,,,,ЙEКЁ,5.4,35.10630436,136.0858541,,,
,СеСyРм,,,,,НґКЁ,5.5,35.10552905,136.0858349,,,
,СеСyРм,,,,,ЙEКЁ,5.5,35.10578353,136.0862876,,,
,СеСyРм,,,,,НґКЁ,5.6,35.10478436,136.0864517,,,
,СеСyРм,,,,,ЙEКЁ,5.6,35.10503782,136.0869053,,,
,СеСyРм,,,,,НґКЁ,5.7,35.10403894,136.0870686,,,
,СеСyРм,,,,,ЙEКЁ,5.7,35.10429239,136.0875221,,,
,СеСyРм,,,,,НґКЁ,5.8,35.10329487,136.087691,,,
,СеСyРм,,,,,ЙEКЁ,5.8,35.10355074,136.0881425,,,
,СеСyРм,,,,,НґКЁ,5.9,35.10255275,136.0883137,,,
,СеСyРм,,,,,ЙEКЁ,5.9,35.10280862,136.0887652,,,
,СеСyРм,,,,,НґКЁ,6,35.10245563,136.0894751,,,
,СеСyРм,,,,,ЙEКЁ,6,35.10282689,136.0891641,,,
,СеСyРм,,,,,НґКЁ,6.1,35.1029668,136.0903786,,,
,СеСyРм,,,,,ЙEКЁ,6.1,35.10333806,136.0900676,,,
,СеСyРм,,,,,НґКЁ,6.2,35.10296304,136.0907595,,,
,СеСyРм,,,,,ЙEКЁ,6.2,35.10321018,136.0912182,,,
,СеСyРм,,,,,НґКЁ,6.3,35.10220917,136.0913609,,,
,СеСyРм,,,,,ЙEКЁ,6.3,35.1024563,136.0918196,,,
,СеСyРм,,,,,НґКЁ,6.4,35.10145459,136.0920312,,,
,СеСyРм,,,,,ЙEКЁ,6.4,35.10175447,136.0924406,,,
