РЕМnЦЉ,ЙЌРмЦЉ,ЙЌРмФ‘НЖ,ТnХыРЃФхЛ«,ОЦЦ±ПКЦЉ,К«КНПoТ£ПК,НґЙEКЁ,ЛЧЧ£ХWЦЉ,И№Уx,МoУx,С™Ч ФNМОУъ,РЁТuУъ,УPЛОУъ
,СеЛ{Рм,,,,,ЙEКЁ,1.3,35.07336058,135.8775983,,,
,СеЛ{Рм,,,,,НґКЁ,1.4,35.07410028,135.8768647,,,
,СеЛ{Рм,,,,,ЙEКЁ,1.4,35.07373543,135.8765427,,,
,СеЛ{Рм,,,,,НґКЁ,1.5,35.07444956,135.8758339,,,
,СеЛ{Рм,,,,,ЙEКЁ,1.5,35.07402327,135.8756558,,,
,СеЛ{Рм,,,,,НґКЁ,1.6,35.07439488,135.8745731,,,
,СеЛ{Рм,,,,,ЙEКЁ,1.6,35.07398119,135.8747907,,,
,СеЛ{Рм,,,,,НґКЁ,1.7,35.07420052,135.8736538,,,
,СеЛ{Рм,,,,,ЙEКЁ,1.7,35.07375209,135.8735986,,,
,СеЛ{Рм,,,,,НґКЁ,1.8,35.07432348,135.8725337,,,
,СеЛ{Рм,,,,,ЙEКЁ,1.8,35.07387361,135.8725675,,,
,СеЛ{Рм,,,,,НґКЁ,1.9,35.0744799,135.8717597,,,
,СеЛ{Рм,,,,,ЙEКЁ,1.9,35.07419669,135.8713332,,,
,СеЛ{Рм,,,,,НґКЁ,2,35.07485772,135.8705414,,,
,СеЛ{Рм,,,,,ЙEКЁ,2,35.0744176,135.8706596,,,
,СеЛ{Рм,,,,,НґКЁ,2.1,35.07479269,135.8695197,,,
,СеЛ{Рм,,,,,ЙEКЁ,2.1,35.07434504,135.8695838,,,
,СеЛ{Рм,,,,,НґКЁ,2.2,35.07404309,135.8686181,,,
,СеЛ{Рм,,,,,ЙEКЁ,2.2,35.07385976,135.8691189,,,
,СеЛ{Рм,,,,,НґКЁ,2.3,35.07282833,135.8674653,,,
,СеЛ{Рм,,,,,ЙEКЁ,2.3,35.07247023,135.8677983,,,
,СеЛ{Рм,,,,,НґКЁ,2.4,35.07287503,135.8666059,,,
,СеЛ{Рм,,,,,ЙEКЁ,2.4,35.07242515,135.8666394,,,
,СеЛ{Рм,,,,,НґКЁ,2.5,35.07232535,135.8656028,,,
,СеЛ{Рм,,,,,ЙEКЁ,2.5,35.0719415,135.8658902,,,
,СеЛ{Рм,,,,,НґКЁ,2.6,35.07174823,135.8646603,,,
,СеЛ{Рм,,,,,ЙEКЁ,2.6,35.07146714,135.8650889,,,
,СеЛ{Рм,,,,,НґКЁ,2.7,35.07131276,135.8638779,,,
,СеЛ{Рм,,,,,ЙEКЁ,2.7,35.07090796,135.864119,,,
,СеЛ{Рм,,,,,НґКЁ,2.8,35.07096538,135.86298,,,
,СеЛ{Рм,,,,,ЙEКЁ,2.8,35.07051596,135.8630218,,,
,СеЛ{Рм,,,,,НґКЁ,2.9,35.0713538,135.8620725,,,
,СеЛ{Рм,,,,,ЙEКЁ,2.9,35.07090391,135.8620391,,,
,СеЛ{Рм,,,,,НґКЁ,3,35.0714539,135.8610161,,,
,СеЛ{Рм,,,,,ЙEКЁ,3,35.07086879,135.8609493,,,
,СеЛ{Рм,,,,,НґКЁ,3.1,35.07158494,135.8599555,,,
,СеЛ{Рм,,,,,ЙEКЁ,3.1,35.07114144,135.8598577,,,
,СеЛ{Рм,,,,,НґКЁ,3.2,35.07156401,135.8587332,,,
,СеЛ{Рм,,,,,ЙEКЁ,3.2,35.07104698,135.8589263,,,
,СеЛ{Рм,,,,,НґКЁ,3.3,35.07136171,135.8577703,,,
,СеЛ{Рм,,,,,ЙEКЁ,3.3,35.07091102,135.8577627,,,
,СеЛ{Рм,,,,,НґКЁ,3.4,35.07199345,135.8574075,,,
,СеЛ{Рм,,,,,ЙEКЁ,3.4,35.07168752,135.8569283,,,
,СеЛ{Рм,,,,,НґКЁ,3.5,35.0724257,135.8575724,,,
,СеЛ{Рм,,,,,ЙEКЁ,3.5,35.07272142,135.8569551,,,
,СеЛ{Рм,,,,,НґКЁ,3.6,35.07356547,135.8574196,,,
,СеЛ{Рм,,,,,ЙEКЁ,3.6,35.07332493,135.856956,,,
,СеЛ{Рм,,,,,НґКЁ,3.7,35.07425868,135.8564874,,,
,СеЛ{Рм,,,,,ЙEКЁ,3.7,35.07380963,135.8565346,,,
,СеЛ{Рм,,,,,НґКЁ,3.8,35.07431616,135.8553879,,,
,СеЛ{Рм,,,,,ЙEКЁ,3.8,35.07386842,135.8554509,,,
,СеЛ{Рм,,,,,НґКЁ,3.9,35.0742574,135.8542537,,,
,СеЛ{Рм,,,,,ЙEКЁ,3.9,35.07372783,135.854397,,,
,СеЛ{Рм,,,,,НґКЁ,4,35.07440744,135.8537682,,,
,СеЛ{Рм,,,,,ЙEКЁ,4,35.07412663,135.8532069,,,
,СеЛ{Рм,,,,,НґКЁ,4.1,35.07506792,135.853687,,,
,СеЛ{Рм,,,,,ЙEКЁ,4.1,35.07511068,135.8531412,,,
,СеЛ{Рм,,,,,НґКЁ,4.2,35.07582844,135.853453,,,
,СеЛ{Рм,,,,,ЙEКЁ,4.2,35.07602581,135.85296,,,
,СеЛ{Рм,,,,,НґКЁ,4.3,35.07691473,135.8533933,,,
,СеЛ{Рм,,,,,ЙEКЁ,4.3,35.0766209,135.8529775,,,
,СеЛ{Рм,,,,,НґКЁ,4.4,35.07765226,135.8532084,,,
,СеЛ{Рм,,,,,ЙEКЁ,4.4,35.07759476,135.8526646,,,
,СеЛ{Рм,,,,,НґКЁ,4.5,35.07858776,135.8527058,,,
,СеЛ{Рм,,,,,ЙEКЁ,4.5,35.07826752,135.85232,,,
,СеЛ{Рм,,,,,НґКЁ,4.6,35.07912672,135.8520617,,,
,СеЛ{Рм,,,,,ЙEКЁ,4.6,35.07871148,135.8518485,,,
,СеЛ{Рм,,,,,НґКЁ,4.7,35.07934322,135.8507877,,,
,СеЛ{Рм,,,,,ЙEКЁ,4.7,35.07892744,135.850576,,,
,СеЛ{Рм,,,,,НґКЁ,4.8,35.07943456,135.849624,,,
,СеЛ{Рм,,,,,ЙEКЁ,4.8,35.07898688,135.8496876,,,
,СеЛ{Рм,,,,,НґКЁ,4.9,35.07970207,135.8486834,,,
,СеЛ{Рм,,,,,ЙEКЁ,4.9,35.07925996,135.8485766,,,
,СеЛ{Рм,,,,,НґКЁ,5,35.07913092,135.8477793,,,
,СеЛ{Рм,,,,,ЙEКЁ,5,35.07872558,135.8480191,,,
,СеЛ{Рм,,,,,НґКЁ,5.1,35.07888177,135.8467142,,,
,СеЛ{Рм,,,,,ЙEКЁ,5.1,35.07854614,135.8470802,,,
,СеЛ{Рм,,,,,НґКЁ,5.2,35.07798042,135.8460108,,,
,СеЛ{Рм,,,,,ЙEКЁ,5.2,35.07865673,135.8459873,,,
,СеЛ{Рм,,,,,НґКЁ,5.3,35.07304031,135.8677843,,,
,СеЛ{Рм,,,,,ЙEКЁ,5.3,35.07311211,135.8683256,,,
